subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
000,662,2,1,2,4,2,559,right
000,663,1,1,2,5,2,398,right
000,664,2,1,2,2,2,460,right
000,665,1,2,2,3,2,502,right
000,666,2,2,1,3,1,524,left
000,667,1,2,1,2,1,583,left
000,668,0,0,1,3,2,700,right
000,669,1,2,2,1,1,457,left
000,670,2,2,1,3,2,639,right
000,671,1,2,2,4,2,532,right
000,672,2,2,2,2,1,309,left
000,673,2,2,2,4,2,430,right
000,674,2,2,1,1,1,418,left
000,675,1,1,2,4,2,455,right
000,676,2,1,1,4,1,645,left
000,677,2,1,1,2,1,480,left
000,678,0,0,1,1,1,372,left
000,679,1,2,2,1,1,517,left
000,680,0,0,1,2,1,533,left
000,681,0,0,2,5,2,425,right
000,682,2,1,1,5,2,406,right
000,683,2,2,2,1,1,429,left
000,684,2,2,1,2,1,415,left
000,685,2,2,2,5,2,351,right
000,686,2,1,2,1,1,430,left
000,687,2,2,2,3,2,352,right
000,688,1,1,2,3,2,302,right
000,689,1,2,1,4,1,591,left
000,690,1,1,1,3,1,666,left
000,691,2,2,1,4,1,542,left
000,692,1,1,1,2,1,691,left
000,693,0,0,2,4,2,451,right
000,694,2,1,2,3,1,538,left
000,695,0,0,1,3,1,432,left
000,696,0,0,2,2,1,628,left
000,697,1,2,1,5,2,382,right
000,698,1,1,2,2,2,527,right
000,699,1,2,2,3,2,442,right
000,700,2,2,1,5,2,422,right
000,701,2,2,2,5,2,383,right
000,702,1,1,1,1,1,470,left
000,703,1,2,1,5,2,409,right
000,704,2,2,2,4,2,651,right
000,705,1,2,2,2,1,415,left
000,706,1,1,2,2,1,505,left
000,707,2,1,1,3,1,601,left
000,708,0,0,2,2,1,648,left
000,709,0,0,1,4,1,660,left
000,710,1,1,1,2,1,529,left
000,711,2,1,1,1,1,410,left
000,712,2,1,2,5,2,389,right
000,713,2,2,1,2,2,402,right
000,714,1,2,1,3,2,515,right
000,715,2,2,1,4,2,702,right
000,716,1,1,2,4,1,532,left
000,717,1,1,1,1,1,660,left
000,718,2,1,1,2,1,655,left
000,719,1,2,2,5,2,464,right
000,720,2,2,1,5,1,500,left
000,721,2,1,2,2,1,420,left
000,722,2,1,1,4,1,488,left
000,723,0,0,1,2,1,470,left
000,724,1,1,1,5,2,538,right
000,725,0,0,2,5,2,512,right
000,726,2,1,2,1,1,515,left
000,727,2,2,2,5,2,368,right
000,728,0,0,2,3,1,387,left
000,729,2,2,1,4,1,669,left
000,730,2,1,1,5,2,448,right
000,731,2,1,2,5,2,448,right
000,732,0,0,2,3,1,544,left
000,733,2,1,1,4,1,448,left
000,734,1,1,2,1,1,447,left
000,735,2,1,1,3,1,456,left
000,736,1,1,2,2,1,634,left
000,737,2,2,2,2,1,431,left
000,738,1,1,2,1,1,621,left
000,739,2,1,2,2,1,576,left
000,740,0,0,1,5,2,413,right
000,741,0,0,2,4,2,545,right
000,742,2,1,2,3,2,370,right
000,743,0,0,2,4,2,399,right
000,744,0,0,1,1,1,416,left
000,745,1,1,1,5,2,389,right
000,746,1,1,1,3,1,316,left
000,747,0,0,1,5,2,360,right
000,748,1,2,1,2,1,355,left
000,749,1,2,2,5,2,405,right
000,750,0,0,1,4,1,311,left
000,751,2,1,2,2,1,434,left
000,752,0,0,1,1,1,427,left
000,753,1,2,2,2,1,456,left
000,754,2,2,2,4,2,391,right
000,755,1,1,1,2,1,324,left
000,756,1,2,1,4,1,402,left
000,757,0,0,2,5,2,316,right
000,758,2,2,1,5,1,475,left
000,759,1,1,2,4,1,422,left
000,760,1,1,2,5,2,347,right
000,761,2,2,1,4,1,419,left
000,762,1,1,1,1,1,344,left
000,763,1,2,1,2,1,369,left
000,764,2,1,1,3,1,422,left
000,765,1,1,1,1,1,321,left
000,766,2,1,2,2,1,421,left
000,767,2,2,2,3,1,432,left
000,768,0,0,2,2,1,527,left
000,769,2,2,2,5,2,461,right
000,770,2,1,1,4,1,320,left
000,771,2,2,1,2,2,428,right
000,772,1,2,2,5,2,482,right
000,773,2,1,1,3,1,504,left
000,774,1,2,2,3,2,482,right
000,775,2,1,2,1,1,304,left
000,776,2,2,2,2,2,387,right
000,777,1,1,1,2,1,371,left
000,778,2,1,2,1,1,335,left
000,779,2,1,2,5,2,415,right
000,780,0,0,1,2,1,403,left
000,781,1,1,2,5,2,366,right
000,782,1,1,1,1,1,440,left
000,783,0,0,2,1,1,502,left
000,784,1,1,1,5,2,415,right
000,785,2,1,2,4,1,394,left
000,786,1,2,1,4,1,419,left
000,787,1,2,1,5,1,438,left
000,788,1,1,1,4,1,377,left
000,789,1,1,2,2,1,478,left
000,790,1,1,2,5,2,322,right
